"","(Intercept)","distribution","FAL_L","FL_L","FTL_L","HH","INF","s(temp, by = distribution)","SFT_L","substrate","SVL","TAL","TL_L","TRL","df","logLik","AICc","delta","weight"
"588",-0.163400952285942,"+",0.811198891140013,NA,-0.685384602765856,NA,NA,"+",NA,NA,0.057630952809107,NA,NA,NA,11,-234.50800091195,492.686887899849,0,0.0266884658354745
"604",-0.145800893922958,"+",0.760095561971643,NA,-0.613298160802676,-0.422290086825507,NA,"+",NA,NA,0.0561096724603797,NA,NA,NA,12,-233.869877927018,493.727017000533,1.04012910068377,0.0158658171560133
"716",-2.20445527691477,"+",0.756135131649808,NA,-0.692755664425565,NA,NA,"+",0.129741764375087,NA,0.0540609036443604,NA,NA,NA,12,-233.881984961651,493.7512310698,1.06434316995058,0.0156748872876896
"2636",-0.163370491249414,"+",0.887344917651346,NA,-0.627346433974914,NA,NA,"+",NA,NA,0.0577605377054489,NA,-0.213106048189526,NA,12,-234.062635039604,494.112531225705,1.42564332585584,0.0130842578657596
"1612",-0.218386684649729,"+",0.774601896515583,NA,-0.552581371738697,NA,NA,"+",NA,NA,0.0597648757389132,-0.00556904423249932,NA,NA,12,-234.103659771429,494.194580689354,1.50769278950509,0.0125583412487706
"844",-0.292480669044961,"+",0.843151973893238,NA,-0.686058038595463,NA,NA,"+",NA,"+",0.0600071067953349,NA,NA,NA,12,-234.276408811837,494.540078770172,1.85319087032269,0.0105659444968097
"1604",-0.420162160664374,"+",0.50117544678173,NA,NA,NA,NA,"+",NA,NA,0.0667348797940579,-0.0100723940838455,NA,NA,11,-235.441806962876,494.554500001702,1.86761210185296,0.0104900315493069
"592",-0.207478035776693,"+",0.818550271881417,-0.165634440460494,-0.605249279868364,NA,NA,"+",NA,NA,0.0592719428129325,NA,NA,NA,12,-234.387403737054,494.762068620605,2.07518072075584,0.00945592113585858
"620",-0.197402511189937,"+",0.800825465516169,NA,-0.698073847065861,NA,0.0719307887783573,"+",NA,NA,0.0575417985094067,NA,NA,NA,12,-234.432139763237,494.851540672971,2.16465277312238,0.00904222338949983
"4684",-0.150628451767106,"+",0.810015230495248,NA,-0.67602535278067,NA,NA,"+",NA,NA,0.0574926736484507,NA,NA,0.0169942200659704,12,-234.500841911608,494.988944969712,2.30205706986339,0.00844186238468935
"580",-0.405753250588143,"+",0.436052143567017,NA,NA,NA,NA,"+",NA,NA,0.0657295810174065,NA,NA,NA,10,-236.919819133657,495.223286066057,2.53639816620802,0.00750847511423073
"596",-0.342872284878162,"+",0.419441263491355,NA,NA,-0.577554473180591,NA,"+",NA,NA,0.0623805689116715,NA,NA,NA,11,-235.811997933345,495.294881942638,2.60799404278941,0.00724444131411567
"1620",-0.368684803690506,"+",0.478631120402323,NA,NA,-0.468299355081451,NA,"+",NA,NA,0.0639178993306763,-0.00872068916816042,NA,NA,12,-234.682227259573,495.351715665643,2.66482776579403,0.00704147452627503
"972",-2.51648721931378,"+",0.790368763429894,NA,-0.694842540423426,NA,NA,"+",0.13975286310936,"+",0.0566464691558285,NA,NA,NA,13,-233.552392056385,495.438117446104,2.75122954625533,0.00674375376124959
"584",-0.447463095554072,"+",0.574543975719502,-0.448605126558739,NA,NA,NA,"+",NA,NA,0.0675736478269578,NA,NA,NA,11,-235.893023987949,495.456934051846,2.77004615199746,0.00668060401515834
"1628",-0.196375530539577,"+",0.733045895524549,NA,-0.50452957413474,-0.389171111158275,NA,"+",NA,NA,0.0581289092756797,-0.00483963432960116,NA,NA,13,-233.564115163149,495.461563659632,2.77467575978289,0.00666515761157316
"4700",-0.0448411387027743,"+",0.73190244119777,NA,-0.516495619905135,-0.586680125607251,NA,"+",NA,NA,0.0545139395567722,NA,NA,0.125969587114673,13,-233.564186358729,495.461706050791,2.77481815094211,0.00666468309870564
"4692",-0.107609490631745,"+",0.46408548173496,NA,NA,-0.823601982712081,NA,"+",NA,NA,0.0577231285840786,NA,NA,0.221717995367342,12,-234.774575399613,495.536411945723,2.84952404587386,0.00642032961287642
"732",-1.57285683767854,"+",0.737248932824549,NA,-0.640165068766285,-0.297575047844572,NA,"+",0.0903262512795745,NA,0.05410023807016,NA,NA,NA,13,-233.61986222802,495.573057789372,2.88616988952344,0.00630376160975241
"1608",-0.450467797463827,"+",0.598979394307738,-0.347244306214978,NA,NA,NA,"+",NA,NA,0.0680201621548764,-0.00861977679708248,NA,NA,12,-234.809465118185,495.606191382866,2.91930348301742,0.00620018877632388
"2892",-0.342137288988777,"+",0.948671074940087,NA,-0.616534231307842,NA,NA,"+",NA,"+",0.0611011351601604,NA,-0.259790581519231,NA,13,-233.640100330529,495.613533994391,2.92664609454221,0.00617746772103248
"594",0.0605208123405509,"+",NA,NA,NA,-0.602622542328115,NA,"+",NA,NA,0.0490862788742469,NA,NA,NA,10,-237.124735382432,495.633118563606,2.94623066375715,0.00611727140967333
"860",-0.266862004984046,"+",0.791498309256106,NA,-0.616369777669449,-0.411824753311722,NA,"+",NA,"+",0.0583791950235568,NA,NA,NA,13,-233.66627958763,495.665892508594,2.97900460874507,0.00601784472743282
"600",-0.386491409081787,"+",0.549242707403813,-0.416850876476037,NA,-0.539228682227311,NA,"+",NA,NA,0.0643328191954116,NA,NA,NA,12,-234.872738203068,495.732737552633,3.04584965278389,0.00582003720595369
"1740",-1.89243822418707,"+",0.741409593344013,NA,-0.602654126577501,NA,NA,"+",0.107497382523078,NA,0.0561390920441273,-0.00375052460443835,NA,NA,13,-233.71422242735,495.761778188033,3.07489028818429,0.00573613900504567
"608",-0.19322699874941,"+",0.767760011557502,-0.176689136838729,-0.527537984652177,-0.4278452334849,NA,"+",NA,NA,0.0578627366551926,NA,NA,NA,13,-233.729690495407,495.792714324148,3.1058264242987,0.00564809470956511
"2628",-0.374622902058058,"+",0.591179115209733,NA,NA,NA,NA,"+",NA,NA,0.0648759355014782,NA,-0.305927548479983,NA,11,-236.073664663828,495.818215403606,3.13132750375723,0.00557653563149145
"2652",-0.150304251434537,"+",0.815675542113852,NA,-0.595843425299359,-0.329982054466908,NA,"+",NA,NA,0.0565383572585454,NA,-0.123386059387872,NA,13,-233.749542740389,495.832418814112,3.14553091426262,0.00553707301091078
"720",-2.22810640928955,"+",0.764101599729366,-0.157329639098224,-0.617153414480752,NA,NA,"+",0.12853558146692,NA,0.0556762950463645,NA,NA,NA,13,-233.770443847815,495.874221028963,3.18733312911434,0.00542254312322275
"1868",-0.366864089515361,"+",0.808265434689448,NA,-0.545076433042492,NA,NA,"+",NA,"+",0.0625883844379911,-0.00594350627274442,NA,NA,13,-233.814258468992,495.961850271318,3.27496237146875,0.00519008614422194
"3660",-0.208027632323341,"+",0.845038160414947,NA,-0.533390153128084,NA,NA,"+",NA,NA,0.0594629466484275,-0.00441496424965383,-0.174292317840436,NA,13,-233.820133367626,495.973600068585,3.28671216873647,0.00515968430552574
