Specimen,State,SVL,Side,FL,TL,FTL,HUL,FAL,LFT,LFF
FPWerneck03381,Amazonas,39.56,Left,4.01,2.68,6.54,2.39,5.99,16,12
FPWerneck03381,Amazonas,39.08,Left,4.02,3.02,6.69,2.58,6.05,16,12
FPWerneck03381,Amazonas,39.56,Right,3.92,2.78,6.29,2.4,5.99,17,12
FPWerneck03381,Amazonas,39.08,Right,4.24,3.03,6.65,2.65,6.11,17,12
FPWerneck03715,Roraima,43.63,Left,4.97,3.14,6.4,3.36,6.12,16,14
FPWerneck03715,Roraima,45.31,Left,4.96,3.45,6.69,3.52,5.84,16,14
FPWerneck03715,Roraima,43.63,Right,4.91,2.87,6.85,3.22,5.55,16,13
FPWerneck03715,Roraima,45.31,Right,5.22,3.16,6.82,3.54,5.33,16,13
FPWerneck03716,Roraima,36.35,Left,4.44,3.11,5.81,3.08,5.91,16,13
FPWerneck03716,Roraima,38.51,Left,4.68,3.36,6,3.25,6.05,16,13
FPWerneck03716,Roraima,36.35,Right,4.55,3.05,6.37,2.9,5.93,17,13
FPWerneck03716,Roraima,38.51,Right,4.71,3.35,6.75,3.21,6,17,13
FPWerneck03717,Roraima,37.24,Left,4.24,2.75,6.5,2.97,6.16,16,13
FPWerneck03717,Roraima,38.91,Left,4.48,3.01,6.74,3.24,6.45,16,13
FPWerneck03717,Roraima,37.24,Right,4.41,2.84,6.57,3.22,5.92,17,13
FPWerneck03717,Roraima,38.91,Right,4.71,3.13,6.82,3.54,6.11,17,13
FPWerneck03720,Roraima,38.49,Left,4.72,3.53,6.52,3.07,5.78,16,13
FPWerneck03720,Roraima,39.33,Left,4.63,3.31,6.71,3.33,6.28,16,13
FPWerneck03720,Roraima,38.49,Right,4.48,3.45,6.56,3.02,5.96,16,12
FPWerneck03720,Roraima,39.33,Right,4.13,3.34,6.74,3.31,6.18,16,12
FPWerneck03726,Roraima,41.76,Left,4.52,3.32,6.32,3.2,6.11,17,13
FPWerneck03726,Roraima,42.49,Left,4.75,3.38,6.29,3.54,6.51,17,13
FPWerneck03726,Roraima,41.76,Right,4.24,2.92,6.34,3.3,6.25,17,12
FPWerneck03726,Roraima,42.49,Right,4.34,3.23,6.24,3.53,6.34,17,12
FPWerneck03727,Roraima,40.38,Left,5.07,2.83,6.28,3.18,6.45,17,13
FPWerneck03727,Roraima,41.53,Left,5.05,3.1,6.5,3.52,6.47,17,13
FPWerneck03727,Roraima,40.38,Right,4.21,2.93,6.46,3.08,6.2,16,13
FPWerneck03727,Roraima,41.53,Right,4.59,3.19,6.6,3.33,6.12,16,13
FPWerneck03728,Roraima,43.9,Left,4.73,2.91,6.83,3.08,6.05,16,14
FPWerneck03728,Roraima,45.13,Left,5.18,3.15,6.92,3.37,6.19,16,14
FPWerneck03728,Roraima,43.9,Right,4.94,3.02,6.88,3.26,5.96,17,14
FPWerneck03728,Roraima,45.13,Right,5.01,3.34,6.99,3.55,6.11,17,14
FPWerneck03729,Roraima,33.59,Left,4.47,2.78,5.98,3.09,5.88,17,14
FPWerneck03729,Roraima,35.22,Left,4.59,3.03,6.15,3.31,5.95,17,14
FPWerneck03729,Roraima,33.59,Right,4.04,2.68,6.44,2.84,6,18,14
FPWerneck03729,Roraima,35.22,Right,4.07,2.95,6.36,2.87,5.96,18,14
FPWerneck03730,Roraima,44.04,Left,4.89,3.47,NA,3.37,NA,NA,NA
FPWerneck03730,Roraima,44.69,Left,5.22,3.46,NA,3.39,NA,NA,NA
FPWerneck03730,Roraima,44.04,Right,4.63,3.37,6.78,3.68,6.76,17,12
FPWerneck03730,Roraima,44.69,Right,4.76,3.26,6.78,3.56,6.67,17,12
FPWerneck03731,Roraima,35.81,Left,4.32,2.83,6.1,3.12,6.09,17,13
FPWerneck03731,Roraima,36.33,Left,4.4,2.98,6.11,2.87,5.79,17,13
