Sp,Lat,Lon,Alt,Locality,Country,Reference
Gymnophthalmus underwoodi,20.1392722,-75.2015972,44,Guantanamo,Cuba,"Alfolso Y.U., Hernandez Z. 2016. New records for Gymnophthalmus underwoodi (Squamata: Gymnophthalmidae) suggest another entry pathway on eastern Cuba. Revista Cubana de Ciencias Biológicas, 5(2): 1-4 "
Gymnophthalmus underwoodi,20.1639083,-75.2132972,64,Guantanamo,Cuba,"Alfolso Y.U., Hernandez Z. 2016. New records for Gymnophthalmus underwoodi (Squamata: Gymnophthalmidae) suggest another entry pathway on eastern Cuba. Revista Cubana de Ciencias Biológicas, 5(2): 1-5"
Gymnophthalmus underwoodi,20.1571861,-75.1889750,59,Guantanamo,Cuba,"Alfolso Y.U., Hernandez Z. 2016. New records for Gymnophthalmus underwoodi (Squamata: Gymnophthalmidae) suggest another entry pathway on eastern Cuba. Revista Cubana de Ciencias Biológicas, 5(2): 1-6"
Gymnophthalmus underwoodi,20.0562139,-75.1405361,11,Paraguay,Cuba,"Alfolso Y.U., Hernandez Z. 2016. New records for Gymnophthalmus underwoodi (Squamata: Gymnophthalmidae) suggest another entry pathway on eastern Cuba. Revista Cubana de Ciencias Biológicas, 5(2): 1-7"
Gymnophthalmus underwoodi,19.9882472,-75.1522139,8,Caimanera,Cuba,"Alfolso Y.U., Hernandez Z. 2016. New records for Gymnophthalmus underwoodi (Squamata: Gymnophthalmidae) suggest another entry pathway on eastern Cuba. Revista Cubana de Ciencias Biológicas, 5(2): 1-8"
Gymnophthalmus underwoodi,20.0447222,-75.6841667,41,Santiago de Cuba ,Cuba,"Alfonso Y.U., Casenave-Cambet A.C., Fong A., Díaz L.M. 2012. First record of the unisexual lizard Gymnophthalmus underwoodi (Squamata: Gymnophthalmidae) in Cuba. IRCF Reptiles & Amphibians, 19(1): 57-59"
Gymnophthalmus underwoodi,10.7350000,-61.0350000,350,Matura Forest,Trinidad and Tobago,"Auguste R.J. 2019. Herpetofauna checklist for six pilot protected areas in Trinidad and Tobago. Herpetology Notes, 12: 577-585"
Gymnophthalmus underwoodi,11.2876000,-60.5948000,200,Roxborough-Bloody Bay Road,Trinidad and Tobago,"Auguste R.J. 2019. Herpetofauna checklist for six pilot protected areas in Trinidad and Tobago. Herpetology Notes, 12: 577-586"
Gymnophthalmus underwoodi,10.3913000,-61.0406000,50,Bush Bush Wildlife Sanctuary,Trinidad and Tobago,"Auguste R.J. 2019. Herpetofauna checklist for six pilot protected areas in Trinidad and Tobago. Herpetology Notes, 12: 577-587"
Gymnophthalmus underwoodi,3.3635000,-61.4348000,128,Roraima,Brazil,"Recoder R.S., Vechio F.D., Marques-Souza S., Teixeira Jr M., Silva-da-Silva M., Santos-Jr A.P., Ribeiro S., Barrio-Amorós C., Rodrigues M.T. 2018. Geographic variation and taxonomy of red-tailed Gymnophthalmus (Squamata: Gymnophthalmidae) from Amazonian Savannas. Zootaxa, 4497(1): 061-081"
Gymnophthalmus underwoodi,6.7566778,-57.9901361,2,Lama Conservancy,Guyana,"Ribeiro-Júnior M.A., Amaral S. 2017. Catalogue of distribution of lizards (Reptilia: Squamata) from the Brazilian Amazonia. IV. Alopoglossidae, Gymnophthalmidae. Zootaxa, 4269 (2): 151-196"
Gymnophthalmus underwoodi,4.7400589,-56.2703587,98,Nickerie,Suriname,"Recoder R.S., Vechio F.D., Marques-Souza S., Teixeira Jr M., Silva-da-Silva M., Santos-Jr A.P., Ribeiro S., Barrio-Amorós C., Rodrigues M.T. 2018. Geographic variation and taxonomy of red-tailed Gymnophthalmus (Squamata: Gymnophthalmidae) from Amazonian Savannas. Zootaxa, 4497(1): 061-081"
Gymnophthalmus underwoodi,20.0169306,-75.8301528,21,Santiago de Cuba ,Cuba,"Borroto-Paez R., Bosch R.A., Fabres B.A., García O.A. Introduced Amphibians and Reptiles in the Cuban Archipelago. Herpetological Conservation and Biology, 10(3): 985-1012"
Gymnophthalmus underwoodi,20.0654056,-75.8067556,67,Santiago de Cuba ,Cuba,"Borroto-Paez R., Bosch R.A., Fabres B.A., García O.A. Introduced Amphibians and Reptiles in the Cuban Archipelago. Herpetological Conservation and Biology, 10(3): 985-1013"
Gymnophthalmus underwoodi,20.0277833,-75.8025500,37,Santiago de Cuba ,Cuba,"Borroto-Paez R., Bosch R.A., Fabres B.A., García O.A. Introduced Amphibians and Reptiles in the Cuban Archipelago. Herpetological Conservation and Biology, 10(3): 985-1014"
Gymnophthalmus underwoodi,15.8640000,-61.5850000,0,Les Saintes,Guadalupe,"Breuil M., Serre-Collet F. 2012. Gymnophthalmus underwoodi (Smooth-scaled Worm Lizard). Distribution. Caribbean Herpetology, 30:1. "
Gymnophthalmus underwoodi,13.1938861,-59.5431972,231,Sugar Hill,Barbados,"Cole C.J., Dessauer H.C., Townsend C.R., Arnold M.G. 1990. Unisexual lizard of the genus Gymnophthalmus (Reptilia: Teiidae) in the Neotropics: Genetics, Origin and Systematics. American Museum of Natural History, 2994"
Gymnophthalmus underwoodi,13.0812917,-59.5059167,77,Lowland,Barbados,"Cole C.J., Dessauer H.C., Townsend C.R., Arnold M.G. 1990. Unisexual lizard of the genus Gymnophthalmus (Reptilia: Teiidae) in the Neotropics: Genetics, Origin and Systematics. American Museum of Natural History, 2995"
Gymnophthalmus underwoodi,13.0758333,-59.5973694,12,Saint George,Barbados,"Cole C.J., Dessauer H.C., Townsend C.R., Arnold M.G. 1990. Unisexual lizard of the genus Gymnophthalmus (Reptilia: Teiidae) in the Neotropics: Genetics, Origin and Systematics. American Museum of Natural History, 2996"
Gymnophthalmus underwoodi,13.0849583,-59.5905028,53,Saint George,Barbados,"Cole C.J., Dessauer H.C., Townsend C.R., Arnold M.G. 1990. Unisexual lizard of the genus Gymnophthalmus (Reptilia: Teiidae) in the Neotropics: Genetics, Origin and Systematics. American Museum of Natural History, 2997"
Gymnophthalmus underwoodi,13.1938861,-59.5431972,322,Sugar Hill,Barbados,"Cole C.J., Dessauer H.C., Townsend C.R., Arnold M.G. 1990. Unisexual lizard of the genus Gymnophthalmus (Reptilia: Teiidae) in the Neotropics: Genetics, Origin and Systematics. American Museum of Natural History, 2998"
Gymnophthalmus underwoodi,13.2587972,-59.6437278,0,Saint James,Barbados,"Cole C.J., Dessauer H.C., Townsend C.R., Arnold M.G. 1990. Unisexual lizard of the genus Gymnophthalmus (Reptilia: Teiidae) in the Neotropics: Genetics, Origin and Systematics. American Museum of Natural History, 2999"
Gymnophthalmus underwoodi,13.1132222,-59.5988083,39,Gridgetown,Barbados,"Cole C.J., Dessauer H.C., Townsend C.R., Arnold M.G. 1990. Unisexual lizard of the genus Gymnophthalmus (Reptilia: Teiidae) in the Neotropics: Genetics, Origin and Systematics. American Museum of Natural History, 3000"
Gymnophthalmus underwoodi,13.1603333,-59.4310194,35,Marley Vale,Barbados,"Cole C.J., Dessauer H.C., Townsend C.R., Arnold M.G. 1990. Unisexual lizard of the genus Gymnophthalmus (Reptilia: Teiidae) in the Neotropics: Genetics, Origin and Systematics. American Museum of Natural History, 3001"
Gymnophthalmus underwoodi,13.1824333,-59.5033500,248,Gall Hill,Barbados,"Cole C.J., Dessauer H.C., Townsend C.R., Arnold M.G. 1990. Unisexual lizard of the genus Gymnophthalmus (Reptilia: Teiidae) in the Neotropics: Genetics, Origin and Systematics. American Museum of Natural History, 3002"
Gymnophthalmus underwoodi,13.1235389,-59.4345750,14,Long Bay,Barbados,"Cole C.J., Dessauer H.C., Townsend C.R., Arnold M.G. 1990. Unisexual lizard of the genus Gymnophthalmus (Reptilia: Teiidae) in the Neotropics: Genetics, Origin and Systematics. American Museum of Natural History, 3003"
Gymnophthalmus underwoodi,15.3087833,-61.3385194,508,Wotten Wave,Dominica,"Cole C.J., Dessauer H.C., Townsend C.R., Arnold M.G. 1990. Unisexual lizard of the genus Gymnophthalmus (Reptilia: Teiidae) in the Neotropics: Genetics, Origin and Systematics. American Museum of Natural History, 3004"
Gymnophthalmus underwoodi,4.9224194,-52.3134528,10,Cayenne,French Guiana,"Cole C.J., Dessauer H.C., Townsend C.R., Arnold M.G. 1990. Unisexual lizard of the genus Gymnophthalmus (Reptilia: Teiidae) in the Neotropics: Genetics, Origin and Systematics. American Museum of Natural History, 3005"
Gymnophthalmus underwoodi,5.4838806,-54.0248917,23,Saint-Laurent-du-Maroni,French Guiana,"Cole C.J., Dessauer H.C., Townsend C.R., Arnold M.G. 1990. Unisexual lizard of the genus Gymnophthalmus (Reptilia: Teiidae) in the Neotropics: Genetics, Origin and Systematics. American Museum of Natural History, 3006"
Gymnophthalmus underwoodi,12.1165000,-61.6790000,223,Morne Longue,Grenada,"Cole C.J., Dessauer H.C., Townsend C.R., Arnold M.G. 1990. Unisexual lizard of the genus Gymnophthalmus (Reptilia: Teiidae) in the Neotropics: Genetics, Origin and Systematics. American Museum of Natural History, 3007"
Gymnophthalmus underwoodi,12.0166667,-61.7666667,94,Morne Longue,Grenada,"Cole C.J., Dessauer H.C., Townsend C.R., Arnold M.G. 1990. Unisexual lizard of the genus Gymnophthalmus (Reptilia: Teiidae) in the Neotropics: Genetics, Origin and Systematics. American Museum of Natural History, 3008"
Gymnophthalmus underwoodi,15.9965750,-61.7317000,9,Basse Terre,Guadalupe,"Cole C.J., Dessauer H.C., Townsend C.R., Arnold M.G. 1990. Unisexual lizard of the genus Gymnophthalmus (Reptilia: Teiidae) in the Neotropics: Genetics, Origin and Systematics. American Museum of Natural History, 3009"
