Specimen,Field,FPWerneck,Sp,City,State,Lat,Lon,Maturiry,SVL,BM,BTAL,TAL,HL,HH,HW,TRL,INF,SG,PG,FL_L,FL_R,TL_L,TL_R,FTL_L,FTL_R,HUL_L,HUL_R,FAL_L,FAL_R,SFT_L,SFT_R,SFF_L,SFF_R
INPA-H043353,NA,FPWerneck03381,G_underwoodi,Manaus,Amazonas,-3.089271,-59.97544,Adult,39.56,NA,11.37,38.60,7.16,4.06,5.63,22.98,11.84,4.82,4.80,4.01,3.92,2.68,2.78,6.54,6.29,2.39,2.40,5.99,5.99,16,17,12,12
INPA-H043353,NA,FPWerneck03381,G_underwoodi,Manaus,Amazonas,-3.089271,-59.97544,Adult,39.08,NA,11.35,38.13,7.77,4.11,5.62,22.28,11.66,5.18,5.28,4.02,4.24,3.02,3.03,6.69,6.65,2.58,2.65,6.05,6.11,16,17,12,12
INPA-H043361,NA,FPWerneck03389,G_underwoodi,Manaus,Amazonas,-3.089271,-59.97544,Juvenile,26.89,NA,NA,39.52,5.00,2.69,3.87,14.07,9.14,3.27,3.50,3.25,2.83,2.26,2.35,5.08,4.05,2.10,2.26,4.93,5.15,17,16,13,14
INPA-H043361,NA,FPWerneck03389,G_underwoodi,Manaus,Amazonas,-3.089271,-59.97544,Juvenile,27.05,NA,NA,42.96,5.22,2.84,3.97,13.74,8.94,3.32,3.79,2.96,2.96,2.19,2.41,4.71,4.45,2.32,2.23,4.63,4.91,17,16,13,14
INPA-H044740,LRM05,FPWerneck03714,G_underwoodi,Bonfim,Roraima,3.357985,-59.835996,Juvenile,32.02,0.47,NA,25.17,5.66,3.19,4.53,16.41,10.86,4.27,4.51,4.02,3.80,2.31,2.14,5.79,5.60,2.62,2.62,5.26,5.07,17,17,13,14
INPA-H044740,LRM05,FPWerneck03714,G_underwoodi,Bonfim,Roraima,3.357985,-59.835996,Juvenile,33.47,0.47,NA,26.36,5.74,3.09,4.80,17.41,11.40,4.38,4.79,4.16,3.99,2.55,2.34,5.93,5.77,2.83,2.83,5.42,5.31,17,17,13,14
INPA-H044726,LRM07,FPWerneck03715,G_underwoodi,Bonfim,Roraima,3.357985,-59.835996,Adult,43.63,1.10,11.57,35.22,7.18,4.16,6.01,23.23,13.44,5.64,5.52,4.97,4.91,3.14,2.87,6.40,6.85,3.36,3.22,6.12,5.55,16,16,14,13
INPA-H044726,LRM07,FPWerneck03715,G_underwoodi,Bonfim,Roraima,3.357985,-59.835996,Adult,45.31,1.10,11.16,36.52,7.26,3.92,6.20,24.12,13.92,5.99,6.05,4.96,5.22,3.45,3.16,6.69,6.82,3.52,3.54,5.84,5.33,16,16,14,13
INPA-H044732,LRM08,FPWerneck03716,G_underwoodi,Bonfim,Roraima,3.357985,-59.835996,Adult,36.35,0.77,44.98,49.64,6.50,3.52,4.83,19.40,12.08,4.84,5.27,4.44,4.55,3.11,3.05,5.81,6.37,3.08,2.90,5.91,5.93,16,17,13,13
INPA-H044732,LRM08,FPWerneck03716,G_underwoodi,Bonfim,Roraima,3.357985,-59.835996,Adult,38.51,0.77,44.75,51.87,6.30,3.40,4.97,20.82,12.79,4.67,4.77,4.68,4.71,3.36,3.35,6.00,6.75,3.25,3.21,6.05,6.00,16,17,13,13
INPA-H044738,LRM09,FPWerneck03717,G_underwoodi,Bonfim,Roraima,3.357985,-59.835996,Adult,37.24,0.72,20.67,46.63,6.26,3.51,5.50,18.92,13.42,5.09,5.23,4.24,4.41,2.75,2.84,6.50,6.57,2.97,3.22,6.16,5.92,16,17,13,13
INPA-H044738,LRM09,FPWerneck03717,G_underwoodi,Bonfim,Roraima,3.357985,-59.835996,Adult,38.91,0.72,21.86,48.40,6.46,3.44,5.79,18.83,13.99,5.10,5.61,4.48,4.71,3.01,3.13,6.74,6.82,3.24,3.54,6.45,6.11,16,17,13,13
INPA-H044720,LRM10,FPWerneck03718,G_underwoodi,Bonfim,Roraima,3.35945,-59.332176,Juvenile,33.82,0.55,30.21,44.99,6.30,3.54,4.99,17.97,11.36,4.76,5.01,4.29,3.93,2.99,2.99,5.93,5.89,3.11,2.99,5.50,5.90,16,16,13,13
INPA-H044720,LRM10,FPWerneck03718,G_underwoodi,Bonfim,Roraima,3.35945,-59.332176,Juvenile,33.67,0.55,29.93,44.39,5.89,3.24,4.98,17.81,11.19,4.70,5.03,4.64,3.76,3.24,3.10,5.93,5.87,3.03,3.28,5.58,5.83,16,16,13,13
INPA-H044741,LRM12,FPWerneck03719,G_underwoodi,Bonfim,Roraima,3.35945,-59.332176,Juvenile,31.13,0.47,43.43,46.72,5.67,3.08,4.47,15.67,11.35,4.33,4.44,3.67,3.71,2.02,2.14,5.49,5.57,2.42,2.26,5.28,5.31,16,17,13,13
INPA-H044741,LRM12,FPWerneck03719,G_underwoodi,Bonfim,Roraima,3.35945,-59.332176,Juvenile,32.16,0.47,45.03,50.59,5.74,3.02,4.70,16.00,11.77,4.18,4.37,3.64,3.83,2.16,2.29,5.44,5.60,2.61,2.49,4.77,5.47,16,17,13,13
INPA-H044719,LRM13,FPWerneck03720,G_underwoodi,Bonfim,Roraima,3.35945,-59.332176,Adult,38.49,1.00,NA,71.33,6.28,3.59,5.43,19.89,13.11,4.94,5.27,4.72,4.48,3.53,3.45,6.52,6.56,3.07,3.02,5.78,5.96,16,16,13,12
INPA-H044719,LRM13,FPWerneck03720,G_underwoodi,Bonfim,Roraima,3.35945,-59.332176,Adult,39.33,1.00,NA,72.35,6.38,3.49,5.47,19.98,13.43,5.25,5.68,4.63,4.13,3.31,3.34,6.71,6.74,3.33,3.31,6.28,6.18,16,16,13,12
INPA-H044724,LRM14,FPWerneck03721,G_underwoodi,Bonfim,Roraima,3.35945,-59.332176,Juvenile,34.07,0.72,32.01,50.06,6.10,3.55,5.06,17.72,11.77,4.64,4.88,4.40,4.05,3.29,3.70,5.97,6.20,2.86,2.79,5.65,5.58,16,17,13,14
INPA-H044724,LRM14,FPWerneck03721,G_underwoodi,Bonfim,Roraima,3.35945,-59.332176,Juvenile,34.99,0.72,32.78,51.04,6.16,3.29,5.29,18.04,12.06,5.04,5.28,4.43,4.46,3.40,3.65,6.07,6.24,3.10,3.02,5.78,5.96,16,17,13,14
INPA-H044727,LRM15,FPWerneck03722,G_underwoodi,Bonfim,Roraima,3.35945,-59.332176,Juvenile,34.18,0.62,NA,56.38,5.84,3.11,4.68,17.13,12.19,4.17,4.78,3.86,3.73,2.36,2.11,5.62,6.04,2.79,2.51,NA,5.26,17,16,NA,13
INPA-H044727,LRM15,FPWerneck03722,G_underwoodi,Bonfim,Roraima,3.35945,-59.332176,Juvenile,35.59,0.62,NA,58.79,6.27,3.03,5.07,18.17,12.67,4.53,5.04,3.86,3.86,2.51,2.33,5.84,6.18,3.02,2.73,NA,5.51,17,16,NA,13
INPA-H044734,LRM16,FPWerneck03723,G_underwoodi,Bonfim,Roraima,3.35945,-59.332176,Juvenile,31.82,0.52,27.24,44.64,5.87,3.10,4.66,15.67,11.48,4.05,4.63,3.85,3.69,2.80,3.15,5.81,5.57,2.46,2.19,5.27,5.32,17,17,13,14
INPA-H044734,LRM16,FPWerneck03723,G_underwoodi,Bonfim,Roraima,3.35945,-59.332176,Juvenile,33.46,0.52,28.70,46.56,5.91,3.20,5.03,17.13,12.05,4.42,4.81,4.21,4.01,2.76,3.01,5.88,5.80,2.69,2.41,5.50,5.44,17,17,13,14
INPA-H044742,LRM17,FPWerneck03724,G_underwoodi,Bonfim,Roraima,3.35945,-59.332176,Juvenile,29.25,0.38,NA,35.64,5.27,2.74,4.45,13.83,11.13,3.85,4.22,3.61,3.48,2.47,2.38,5.11,5.15,2.67,2.40,4.85,5.10,17,17,12,12
INPA-H044742,LRM17,FPWerneck03724,G_underwoodi,Bonfim,Roraima,3.35945,-59.332176,Juvenile,30.56,0.38,NA,35.97,5.59,2.94,4.68,14.48,11.70,3.87,4.19,3.53,3.66,2.59,2.54,5.24,5.41,2.88,2.65,5.02,5.31,17,17,12,12
INPA-H044743,LRM18,FPWerneck03725,G_underwoodi,Bonfim,Roraima,3.35945,-59.332176,Juvenile,30.57,0.39,NA,29.12,5.48,2.95,4.60,15.29,10.92,3.86,4.10,3.25,3.49,2.21,2.42,5.71,5.58,2.78,2.23,5.04,5.23,17,16,13,13
INPA-H044743,LRM18,FPWerneck03725,G_underwoodi,Bonfim,Roraima,3.35945,-59.332176,Juvenile,31.04,0.39,NA,29.47,5.60,2.92,4.68,15.51,11.01,3.99,4.23,3.52,3.53,2.45,2.61,5.56,5.26,3.02,2.46,5.06,5.12,17,16,13,13
INPA-H044737,LRM19,FPWerneck03726,G_underwoodi,Bonfim,Roraima,3.35945,-59.332176,Adult,41.76,0.69,5.84,27.21,6.81,3.60,5.45,21.95,13.91,5.16,5.25,4.52,4.24,3.32,2.92,6.32,6.34,3.20,3.30,6.11,6.25,17,17,13,12
INPA-H044737,LRM19,FPWerneck03726,G_underwoodi,Bonfim,Roraima,3.35945,-59.332176,Adult,42.49,0.69,5.86,28.18,7.03,3.51,5.54,22.73,14.15,5.04,5.27,4.75,4.34,3.38,3.23,6.29,6.24,3.54,3.53,6.51,6.34,17,17,13,12
