Field,Voucher,FPWerneck,Sp,City,State,Lat,Lon,Maturity,Collect,Hour,TB,TS,TA5,TA,Light,mhabit1,mhabit2,ativit1,ativit2,tpref,hr_i ,hr_f,chan,day,ctmin,ctmax,sprint_c_tb,speed_c_mean,sprint_e_tb,speed_e_mean,sprint_h_tb,speed_h_mean,treatment
LRM12,INPA-H044741,FPWerneck03719,G_underwoodi,Bonfim,Roraima,3.35945,-59.332176,Juvenile,18/07/2022,12:07,33.7,31.2,31.1,30.9,shadow,leaf_litter,leaf_litter,run,run,32.47,13:19,15:49,1,20/07/2022,18.9,44.1,24.7,2.55,31.6,2.68,35.0,3.12,Urban
LRM13,INPA-H044719,FPWerneck03720,G_underwoodi,Bonfim,Roraima,3.35945,-59.332176,Adult,18/07/2022,12:30,31.8,30.0,31.5,32.3,shadow,leaf_litter,leaf_litter,run,run,30.56,10:30,13:00,3,20/07/2022,19.7,44.4,23.9,4.19,31.0,2.99,38.6,3.88,Urban
LRM14,INPA-H044724,FPWerneck03721,G_underwoodi,Bonfim,Roraima,3.35945,-59.332176,Juvenile,18/07/2022,12:37,34.6,30.0,31.5,32.3,shadow,leaf_litter,leaf_litter,run,run,31.68,10:30,13:00,4,20/07/2022,18.2,45.6,25.6,1.97,31.2,2.49,38.1,2.77,Urban
LRM15,INPA-H044727,FPWerneck03722,G_underwoodi,Bonfim,Roraima,3.35945,-59.332176,Juvenile,18/07/2022,12:44,34.0,29.3,31.3,31.7,shadow,leaf_litter,leaf_litter,run,run,NA,NA,NA,NA,NA,17.3,45.1,22.2,2.18,31.9,2.79,37.1,2.77,Native
LRM16,INPA-H044734,FPWerneck03723,G_underwoodi,Bonfim,Roraima,3.35945,-59.332176,Juvenile,18/07/2022,12:55,32.4,31.2,31.4,31.6,shadow,leaf_litter,leaf_litter,run,run,32.52,10:30,13:00,6,20/07/2022,18.8,45.2,24.1,2.60,31.2,2.91,38.0,3.83,Urban
LRM17,INPA-H044742,FPWerneck03724,G_underwoodi,Bonfim,Roraima,3.35945,-59.332176,Juvenile,18/07/2022,13:00,31.2,31.2,31.4,31.6,shadow,leaf_litter,leaf_litter,run,run,31.13,10:30,13:00,7,20/07/2022,19.6,45.1,24.8,3.44,31.2,3.13,36.5,3.12,Urban
LRM18,INPA-H044743,FPWerneck03725,G_underwoodi,Bonfim,Roraima,3.35945,-59.332176,Juvenile,18/07/2022,13:13,32.8,33.8,33.1,33.0,shadow,leaf_litter,leaf_litter,run,run,34.19,13:19,15:49,3,20/07/2022,19.0,45.4,25.7,2.22,32.5,2.14,37.8,2.70,Native
LRM19,INPA-H044737,FPWerneck03726,G_underwoodi,Bonfim,Roraima,3.35945,-59.332176,Adult,18/07/2022,13:29,35.8,33.6,32.0,31.4,sun,leaf_litter,leaf_litter,run,run,33.26,13:19,15:49,4,20/07/2022,19.2,44.2,25.7,1.82,32.5,5.37,36.1,4.01,Native
LRM21,INPA-H044733,FPWerneck03728,G_underwoodi,Bonfim,Roraima,3.35945,-59.332176,Adult,18/07/2022,13:55,34.1,30.8,31.3,31.1,shadow,leaf_litter,leaf_litter,run,run,33.38,13:19,15:49,5,20/07/2022,15.8,45.6,24.5,2.41,32.6,4.72,36.5,3.28,Native
LRM22,INPA-H044716,FPWerneck03729,G_underwoodi,Bonfim,Roraima,3.35945,-59.332176,Adult,18/07/2022,13:58,32.4,30.8,31.3,31.1,shadow,leaf_litter,leaf_litter,run,run,34.86,15:51,18:30,1,20/07/2022,19.7,45.6,23.8,2.05,30.6,3.69,34.6,3.75,Native
LRM27,INPA-H044735,FPWerneck03735,G_underwoodi,Bonfim,Roraima,3.35945,-59.332176,Adult,22/07/2022,13:00,32.1,29.7,30.1,27.0,shadow,leaf_litter,leaf_litter,run,run,31.66,15:09,18:05,1,23/07/2022,14.8,45.5,22.4,3.49,29.5,3.62,35.0,3.13,Urban
LRM28,INPA-H044739,FPWerneck03736,G_underwoodi,Bonfim,Roraima,3.35945,-59.332176,Adult,22/07/2022,13:10,30.9,29.4,30.1,30.2,shadow,leaf_litter,leaf_litter,run,run,31.44,15:09,18:05,3,23/07/2022,16.6,44.3,21.9,3.88,27.5,4.07,32.1,4.75,Urban
LRM29,INPA-H044731,FPWerneck03737,G_underwoodi,Bonfim,Roraima,3.35945,-59.332176,Adult,22/07/2022,13:35,32.6,31.8,32.0,32.0,shadow,leaf_litter,leaf_litter,run,run,32.44,15:09,18:05,4,23/07/2022,16.4,44.6,21.2,2.72,27.8,3.50,32.0,6.22,Urban
LRM30,INPA-H044715,FPWerneck03738,G_underwoodi,Bonfim,Roraima,3.35945,-59.332176,Adult,22/07/2022,13:40,33.6,33.0,33.2,32.0,shadow,leaf_litter,leaf_litter,run,run,31.11,15:09,18:05,5,23/07/2022,15.3,44.1,20.9,3.01,27.1,3.58,31.7,3.97,Urban
LRM31,INPA-H044723,FPWerneck03739,G_underwoodi,Bonfim,Roraima,3.35945,-59.332176,Adult,22/07/2022,14:01,33.6,32.8,32.1,32.0,shadow,leaf_litter,leaf_litter,run,run,31.47,18:20,20:50,1,23/07/2022,15.7,44.0,23.0,3.22,28.0,3.63,33.4,4.62,Native
LRM32,INPA-H044729,FPWerneck03740,G_underwoodi,Bonfim,Roraima,3.35945,-59.332176,Adult,22/07/2022,14:08,32.4,30.3,32.3,32.2,shadow,leaf_litter,leaf_litter,run,run,29.92,18:20,20:50,3,23/07/2022,16.7,45.2,22.4,4.43,27.8,4.36,32.7,3.03,Native
LRM33,INPA-H044730,FPWerneck03741,G_underwoodi,Bonfim,Roraima,3.35945,-59.332176,Juvenile,22/07/2022,14:12,32.7,31.8,31.6,31.7,shadow,leaf_litter,leaf_litter,run,run,33.08,18:20,20:50,4,23/07/2022,17.9,44.7,21.3,2.61,27.6,5.17,33.6,3.54,Native
LRM34,INPA-H044717,FPWerneck03742,G_underwoodi,Bonfim,Roraima,3.35945,-59.332176,Adult,22/07/2022,14:12,34.7,31.9,32.0,33.1,shadow,leaf_litter,leaf_litter,run,run,32.95,18:20,20:50,5,23/07/2022,18.1,44.7,23.3,3.45,27.3,3.78,33.6,4.76,Native
LRM38,INPA-H044752,NA,G_underwoodi,Manaus,Amazonas,-3.083008,-59.962096,Adult,04/08/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.73,11:45,14:00,3,05/08/2022,17.8,44.7,22.8,4.25,31.4,5.60,37.2,8.01,Urban
LRM39,INPA-H044760,NA,G_underwoodi,Manaus,Amazonas,-3.089271,-59.97544,Adult,05/08/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.01,14:28,16:50,1,05/08/2022,17.1,45.1,27.2,4.74,32.5,6.75,39.3,7.91,Native
LRM43,INPA-H044769,NA,G_underwoodi,Manaus,Amazonas,-3.076181,-59.961819,Adult,09/08/2022,10:40,33.5,36.5,33.0,33.2,sun,leaf_litter,leaf_litter,run,run,32.90,11:12,13:50,3,10/08/2022,14.5,45.9,24.3,2.70,32.8,3.88,38.8,4.68,Urban
LRM44,INPA-H044763,NA,G_underwoodi,Manaus,Amazonas,-3.076181,-59.961819,Adult,09/08/2022,11:40,35.1,33.6,32.6,33.4,shadow,leaf_litter,leaf_litter,preying,preying,33.36,11:12,13:50,4,10/08/2022,16.0,45.6,24.1,3.09,32.3,6.04,36.1,7.18,Urban
LRM45,INPA-H044761,NA,G_underwoodi,Manaus,Amazonas,-3.079572,-59.96074,Adult,09/08/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.21,11:12,13:50,5,10/08/2022,16.1,46.1,26.1,3.73,32.5,4.63,39.4,6.90,Native
LRM46,INPA-H044753,NA,G_underwoodi,Manaus,Amazonas,-3.089271,-59.97544,Adult,09/08/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.12,11:12,13:50,6,10/08/2022,16.8,45.1,25.7,5.59,32.6,8.63,37.0,9.01,Native
LRM47,INPA-H044770,NA,G_underwoodi,Manaus,Amazonas,-3.076181,-59.961819,Juvenile,12/08/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.58,09:10,11:40,1,17/08/2022,15.1,45.5,23.5,4.06,30.1,5.02,38.0,7.04,Urban
LRM49,INPA-H044751,NA,G_underwoodi,Manaus,Amazonas,-3.079572,-59.96074,Adult,22/08/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.20,15:10,17:40,1,23/08/2022,17.5,46.0,24.2,3.82,30.4,3.87,37.1,5.17,Native
LRM51,INPA-H044771,NA,G_underwoodi,Manaus,Amazonas,-3.089271,-59.97544,Adult,23/08/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.55,11:55,14:35,2,24/08/2022,15.2,45.5,23.6,2.54,39.7,7.45,35.6,6.82,Urban
LRM52,INPA-H044748,NA,G_underwoodi,Manaus,Amazonas,-3.089271,-59.97544,Adult,27/08/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.41,12:04,14:40,1,29/08/2022,16.8,45.8,21.7,3.95,29.1,6.86,36.7,7.37,Native
LRM53,INPA-H044756,NA,G_underwoodi,Manaus,Amazonas,-3.09135,-59.989627,Adult,16/01/2023,NA,NA,NA,NA,NA,NA,leaf_litter,leaf_litter,basking,basking,29.41,12:30,15:00,1,19/01/2023,15.1,43.8,21.3,4.45,29.7,6.81,35.0,6.88,Urban
