temp,id,site
29.51,LRM5_G_underwoodi,RR
30.04,LRM5_G_underwoodi,RR
30.38,LRM5_G_underwoodi,RR
30.6,LRM5_G_underwoodi,RR
30.63,LRM5_G_underwoodi,RR
30.59,LRM5_G_underwoodi,RR
30.79,LRM5_G_underwoodi,RR
31.08,LRM5_G_underwoodi,RR
31.32,LRM5_G_underwoodi,RR
31.55,LRM5_G_underwoodi,RR
31.62,LRM5_G_underwoodi,RR
31.64,LRM5_G_underwoodi,RR
31.62,LRM5_G_underwoodi,RR
31.61,LRM5_G_underwoodi,RR
31.64,LRM5_G_underwoodi,RR
31.63,LRM5_G_underwoodi,RR
31.6,LRM5_G_underwoodi,RR
31.57,LRM5_G_underwoodi,RR
31.56,LRM5_G_underwoodi,RR
31.6,LRM5_G_underwoodi,RR
31.62,LRM5_G_underwoodi,RR
31.64,LRM5_G_underwoodi,RR
31.92,LRM5_G_underwoodi,RR
33.38,LRM5_G_underwoodi,RR
33.1,LRM5_G_underwoodi,RR
32.62,LRM5_G_underwoodi,RR
32.87,LRM5_G_underwoodi,RR
33.03,LRM5_G_underwoodi,RR
33.08,LRM5_G_underwoodi,RR
32.97,LRM5_G_underwoodi,RR
32.75,LRM5_G_underwoodi,RR
32.55,LRM5_G_underwoodi,RR
32.39,LRM5_G_underwoodi,RR
32.3,LRM5_G_underwoodi,RR
32.26,LRM5_G_underwoodi,RR
32.32,LRM5_G_underwoodi,RR
32.35,LRM5_G_underwoodi,RR
32.34,LRM5_G_underwoodi,RR
32.4,LRM5_G_underwoodi,RR
32.5,LRM5_G_underwoodi,RR
32.56,LRM5_G_underwoodi,RR
32.74,LRM5_G_underwoodi,RR
32.9,LRM5_G_underwoodi,RR
32.93,LRM5_G_underwoodi,RR
33.14,LRM5_G_underwoodi,RR
33.21,LRM5_G_underwoodi,RR
33.28,LRM5_G_underwoodi,RR
33.17,LRM5_G_underwoodi,RR
33.23,LRM5_G_underwoodi,RR
33.44,LRM5_G_underwoodi,RR
33.52,LRM5_G_underwoodi,RR
31.74,LRM5_G_underwoodi,RR
31.53,LRM5_G_underwoodi,RR
31.54,LRM5_G_underwoodi,RR
31.94,LRM5_G_underwoodi,RR
32.41,LRM5_G_underwoodi,RR
32.73,LRM5_G_underwoodi,RR
32.93,LRM5_G_underwoodi,RR
33.14,LRM5_G_underwoodi,RR
33.32,LRM5_G_underwoodi,RR
33.38,LRM5_G_underwoodi,RR
33.53,LRM5_G_underwoodi,RR
33.68,LRM5_G_underwoodi,RR
33.64,LRM5_G_underwoodi,RR
33.66,LRM5_G_underwoodi,RR
33.87,LRM5_G_underwoodi,RR
33.97,LRM5_G_underwoodi,RR
33.98,LRM5_G_underwoodi,RR
34.26,LRM5_G_underwoodi,RR
34.31,LRM5_G_underwoodi,RR
34.23,LRM5_G_underwoodi,RR
34.14,LRM5_G_underwoodi,RR
34.04,LRM5_G_underwoodi,RR
33.95,LRM5_G_underwoodi,RR
33.9,LRM5_G_underwoodi,RR
33.85,LRM5_G_underwoodi,RR
33.65,LRM5_G_underwoodi,RR
33.72,LRM5_G_underwoodi,RR
33.8,LRM5_G_underwoodi,RR
33.76,LRM5_G_underwoodi,RR
